Hospital Name,Type of Hospital,Address,City,County,Zip,Phone,License #,License Expiration Date
Midwestern Regional Medical Center,General Hospital,2520 Elisha Avenue,Zion,Lake,60099,(847) 872-4561,0002956,06/30/17
Morris Hospital and Health Care Centers,General Hospital,150 West High St.,Morris,Grundy,60450,(815) 942-2932,0001628,06/30/17
Morrison Community Hospital,Critical Access Hospital,303 North Jackson Street,Morrison,Whiteside,61270,(815) 772-4003,0001636,06/30/17
Mt. Sinai Hospital Medical Center,General Hospital,California at 15th Street,Chicago,Cook,60608,(773) 542-2000,0001644,12/31/17
Naperville Psychiatric Ventures - DBA Linden Oaks Hospital,Psychiatric Hospital,801 S. Washington Street,Naperville,Du Page,60540,(630) 305-5500,0005058,08/31/17
NorthShore University HealthSystem - DBA Skokie Hospital,General Hospital,9600 Gross Point Road,Skokie,Cook,60076,(847) 933-6001,0005587,12/31/17
Northwest Community Hospital,General Hospital,800 West Central Road,Arlington Heights,Cook,60005,(847) 618-1000,0001701,12/31/17
Northwestern Lake Forest Hospital,General Hospital,660 North Westmoreland Road,Lake Forest,Lake,60045,(847) 234-5600,0005660,01/31/18
Northwestern Memorial Hospital,General Hospital,251 East Huron Street,Chicago,Cook,60611,(312) 926-2000,0003251,12/31/17
"Norwegian-American Hospital, Inc.",General Hospital,1044 North Francisco Avenue,Chicago,Cook,60622,(773) 292-8200,0001727,12/31/17
OSF Holy Family Medical Center,Critical Access Hospital,1000 West Harlem Avenue,Monmouth,Warren,61462,(309) 734-3141,0005439,04/11/17
OSF Saint Anthony's Health Center,General Hospital,1 Saint Anthony's Way,Alton,Madison,62002,(618) 465-2571,0005942,10/31/17
OSF Saint Luke Medical Center,Critical Access Hospital,1051 West South Street,Kewanee,Henry,61443,(309) 852-7500,0005926,03/31/17
Ottawa Regional Hospital & Healthcare Center - DBA OSF Saint Elizabeth Medical Center,General Hospital,1100 E. Norris Drive,Ottawa,La Salle,61350,(815) 433-3100,0005520,05/14/17
Palos Community Hospital,General Hospital,12251 South 80th Street,Palos Heights,Cook,60463,(708) 923-4000,0003210,12/31/17
Pana Community Hospital,Critical Access Hospital,101 East Ninth Street,Pana,Christian,62557,(217) 562-2131,0001776,12/31/17
Paris Community Hospital,Critical Access Hospital,721 East Court Street,Paris,Edgar,61944,(217) 465-4141,0001784,06/30/17
Passavant Area Hospital,General Hospital,1600 West Walnut,Jacksonville,Morgan,62650,(217) 245-9541,0001792,12/31/17
Pekin Memorial Hospital,General Hospital,600 South 13th Street,Pekin,Tazewell,61554,(309) 353-0700,0001834,12/31/17
Perry Memorial Hospital,Critical Access Hospital,530 Park Avenue East,Princeton,Bureau,61356,(815) 875-2811,0001883,06/30/17
Pinckneyville Community Hospital,Critical Access Hospital,5383 State Route 154,Pinckneyville,Perry,62274,(618) 357-2187,0005975,09/27/17
Presence Central and Suburban Hospitals Network - DBA Presence United Samaritans Medical Center,General Hospital,812 North Logan Avenue,Danville,Vermilion,61832,(217) 443-5000,0004853,12/31/17
Presence Central and Suburban Hospitals Network - DBA Presence Saint Joseph Medical Center,General Hospital,333 North Madison Street,Joliet,Will,60435,(815) 725-7133,0004838,12/31/17
Presence Central and Suburban Hospitals Network - DBA Presence Mercy Medical Center,General Hospital,1325 North Highland Avenue,Aurora,Kane,60506,(630) 859-2222,0004903,12/31/17
Presence Central and Suburban Hospitals Network - DBA Presence Saint Joseph Hospital - Elgin,General Hospital,77 North Airlite Street,Elgin,Kane,60120,(847) 695-3200,0004887,12/31/17
Presence Central and Suburban Hospitals Network - DBA Presence St. Mary's Hospital,General Hospital,500 West Court Street,Kankakee,Kankakee,60901,(815) 937-2400,0004879,12/31/17
Presence Central and Suburban Hospitals Network - DBA Presence Covenant Medical Center,General Hospital,1400 West Park Avenue,Urbana,Champaign,61801,(217) 337-2000,0004861,12/31/17
Presence Holy Family Medical Center,Long Term Acute Care Hospital,100 North River Road,Des Plaines,Cook,60016,(847) 813-3176,0006023,12/31/17
Presence Resurrection Medical Center,General Hospital,7435 West Talcott Avenue,Chicago,Cook,60631,(773) 990-7609,0006031,12/31/17
Presence Saint Elizabeth Hospital,General Hospital,1431 N. Claremont Avenue,Chicago,Cook,60622,(312) 770-2000,0006015,12/31/17
Presence Saint Francis Hospital,General Hospital,355 Ridge Avenue,Evanston,Cook,60202,(847) 316-2353,0005991,12/31/17
Presence Saint Joseph Hospital - Chicago,General Hospital,2900 North Lake Shore Drive,Chicago,Cook,60657,(773) 665-3000,0005983,12/31/17
Presence Saint Mary of Nazareth Hospital,General Hospital,2233 West Division Street,Chicago,Cook,60622,(312) 770-2000,0006007,12/31/17
Proctor Community Hospital,General Hospital,5409 North Knoxville Avenue,Peoria,Peoria,61614,(309) 691-1000,0001925,06/30/17
Provident Hospital of Cook County,General Hospital,500 East 51st Street,Chicago,Cook,60615,(312) 572-2000,0004549,12/31/17
"Red Bud Illinois Company, LLC - DBA Red Bud Regional Hospital",Critical Access Hospital,325 Spring Street,Red Bud,Randolph,62278,(618) 282-3831,0005199,09/02/17
Rehabilitation Institute of Chicago,Rehabilitation Hospital,345 East Superior Street,Chicago,Cook,60611,(312) 908-6005,0001958,12/31/17
Richland Memorial Hospital,General Hospital,800 East Locust Street,Olney,Richland,62450,(618) 395-2131,0004788,01/31/18
Riveredge Hospital Inc.,Psychiatric Hospital,8311 West Roosevelt Road,Forest  Park,Cook,60130,(708) 771-7000,0005124,02/28/17
Riverside Medical Center,General Hospital,350 N. Wall Street,Kankakee,Kankakee,60901,(815) 933-1671,0002014,12/31/17
RM Health Providers Ltd Partnership - DBA RML Specialty Hospital,Long Term Acute Care Hospital,5601 South County Line Road,Hinsdale,Du Page,60521,(630) 286-4123,0004804,05/31/17
RML Health Providers Limited Partnership - DBA RML Chicago,Long Term Acute Care Hospital,3435 West Van Buren Street,Chicago,Cook,60624,(773) 826-6400,0005678,06/30/17
Rochelle Community Hospital,Critical Access Hospital,900 N. Second Street,Rochelle,Ogle,61068,(815) 562-2181,0002022,06/30/17
Rockford Memorial Hospital,General Hospital,2400 N. Rockton Avenue,Rockford,Winnebago,61103,(815) 971-5000,0002048,12/31/17
Roseland Community Hospital,General Hospital,45 West 111th Street,Chicago,Cook,60628,(773) 995-3000,0002063,12/31/17
"Rush Oak Park Hospital, Inc.",General Hospital,520 South Maple Avenue,Oak Park,Cook,60304,(708) 383-9300,0001750,06/30/17
Rush University Medical Center,General Hospital,1653 West Congress Parkway,Chicago,Cook,60612,(312) 942-5000,0001917,12/31/17
Saint Anthony Medical Center,General Hospital,5666 East State Street,Rockford,Winnebago,61108,(815) 226-2000,0002253,12/31/17
Saint Francis Medical Center,General Hospital,530 North East Glen Oak Avenue,Peoria,Peoria,61637,(309) 655-2000,0002394,12/31/17
Saint James Hospital,General Hospital,2500 West Reynolds Street,Pontiac,Livingston,61764,(815) 842-2828,0005264,03/02/17
Salem Township Hospital,Critical Access Hospital,1201 Ricker Drive,Salem,Marion,62881,(618) 548-3194,0002089,06/30/17
Sarah Bush Lincoln Health Center,General Hospital,"1000 Health Center Drive, P. O. Box 372",Mattoon,Coles,61938,(217) 258-2525,0003392,12/31/17
Sarah D. Culbertson Memorial Hospital,Critical Access Hospital,238 South Congress Street,Rushville,Schuyler,62681,(217) 322-4321,0002105,12/31/17
Schwab Rehabilitation Center,Rehabilitation Hospital,1401 South California Boulevard,Chicago,Cook,60608,(773) 522-2010,0002147,12/31/17
Shelby Memorial Hospital,General Hospital,200 South Cedar Street,Shelbyville,Shelby,62565,(217) 774-3961,0002154,06/30/17
Shriners Hospital for Children - Chicago,Pediatric Hospital,2211 North Oak Park Avenue,Chicago,Cook,60635,(773) 622-5400,0003152,12/31/17
Silver Cross Hospital and Medical Centers,General Hospital,1900 Silver Cross Blvd,New Lenox,Will,60451,(815) 300-1100,0005827,02/25/17
South Shore Hospital,General Hospital,8012 South Crandon Avenue,Chicago,Cook,60617,(773) 356-5000,0003459,12/31/17
Sparta Community Hospital,Critical Access Hospital,818 East Broadway Street,Sparta,Randolph,62286,(618) 443-2177,0002220,06/30/17
Springfield Hospital Inc - DBA Lincoln Prairie Behavioral Health Center,Psychiatric Hospital,5230 South Sixth Street,Springfield,Sangamon,62703,(217) 585-1180,0005512,05/14/17
St. Alexius Medical Center,General Hospital,1555 Barrington Road,Hoffman Estates,Cook,60194,(847) 843-2000,0004994,01/31/18
St. Anthony Hospital,General Hospital,2875 West 19th Street,Chicago,Cook,60623,(773) 484-1000,0005637,06/30/17
St. Anthony's Memorial Hospital,General Hospital,503 North Maple Street,Effingham,Effingham,62401,(217) 342-2121,0002279,12/31/17
St. Bernard Hospital,General Hospital,326 West 64th Street,Chicago,Cook,60621,(773) 962-3900,0002303,12/31/17
St. Elizabeth's Hospital,General Hospital,211 South 3rd Street,Belleville,St Clair,62221,(618) 234-2120,0002345,12/31/17
St. Francis Hospital,Critical Access Hospital,"P. O. Box 1215, 1215 Franciscan Dr.",Litchfield,Montgomery,62056,(217) 324-2191,0002386,12/31/17
St. John's Hospital,General Hospital,800 East Carpenter Street,Springfield,Sangamon,62769,(217) 544-6464,0002451,06/30/17
St. Joseph Medical Center,General Hospital,2200 East Washington Street,Bloomington,Mc Lean,61701,(309) 662-3311,0002535,12/31/17
St. Joseph Memorial Hospital,Critical Access Hospital,2 South Hospital Drive,Murphysboro,Jackson,62966,(618) 684-3156,0004614,07/04/17
St. Joseph's Hospital,Critical Access Hospital,12866 Troxler Avenue,Highland,Madison,62249,(618) 651-2600,0005892,08/22/17
St. Joseph's Hospital,General Hospital,9515 Holy Cross Lane,Breese,Clinton,62230,(618) 526-4511,0002527,06/30/17
St. Margaret's Hospital,General Hospital,600 East First Street,Spring Valley,Bureau,61362,(815) 664-5311,0002576,12/31/17
St. Mary Medical Center,General Hospital,3333 North Seminary Street,Galesburg,Knox,61401,(309) 344-3161,0002675,12/31/17
St. Mary's Hospital,General Hospital,1800 East Lake Shore Drive,Decatur,Macon,62521,(217) 464-2966,0002592,06/30/17
St. Mary's Hospital - DBA SSM Health St. Mary's Hospital - Centralia,General Hospital,400 North Pleasant Avenue,Centralia,Marion,62801,(618) 436-8000,0002642,12/31/17
Swedish Covenant Hospital,General Hospital,5145 North California Avenue,Chicago,Cook,60625,(773) 878-8200,0002717,12/31/17
SwedishAmerican Hospital,General Hospital,1401 East State Street,Rockford,Winnebago,61104,(815) 968-4400,0002725,12/31/17
SwedishAmerican Medical Center Belvidere,General Hospital,1625 South State Street,Belvidere,Boone,61008,(815) 547-5441,0005504,01/13/18
Taylorville Memorial Hospital,Critical Access Hospital,201 East Pleasant St,Taylorville,Christian,62568,(217) 824-3331,0005447,04/30/17
"THC Chicago, Inc. - DBA Kindred Chicago Central Hospital",Long Term Acute Care Hospital,4058 West Melrose Street,Chicago,Cook,60641,(773) 736-7000,0004564,06/30/17
"THC Chicago, Inc. - DBA Kindred Hospital - Chicago",Long Term Acute Care Hospital,2544 W. Montrose Avenue,Chicago,Cook,60618,(773) 267-2622,0004937,07/24/17
"THC Chicago, Inc. - DBA Kindred Hospital - Sycamore",Long Term Acute Care Hospital,225 Edward Street,Sycamore,De Kalb,60178,(815) 895-2144,0004945,07/24/17
"THC Chicago, Inc. - DBA Kindred Hospital - Northlake",Long Term Acute Care Hospital,365 East North Avenue,Northlake,Cook,60164,(708) 345-8100,0004952,07/24/17
The Carle Foundation Hospital,General Hospital,611 West Park Street,Urbana,Champaign,61801,(217) 383-3311,0003798,12/31/17
The Pavilion Foundation,Psychiatric Hospital,809 West Church Street,Champaign,Champaign,61820,(217) 373-1700,0004689,12/31/17
The University of Chicago Medical Center,General Hospital,5841 South Maryland,Chicago,Cook,60637,(773) 702-1000,0003897,06/30/17
Thomas H. Boyd Memorial Hospital,Critical Access Hospital,800 School Street,Carrollton,Greene,62016,(217) 942-6946,0002782,06/30/17
Thorek Memorial Hospital,General Hospital,850 West Irving Park Road,Chicago,Cook,60613,(773) 525-6780,0005371,06/05/17
"Touchette Regional Hospital, Inc. - DBA Touchette Regional Hospital",General Hospital,5900 Bond Avenue,Centreville,St Clair,62207,(618) 332-3060,0004523,06/30/17
Trinity Medical Center - 7th Street Campus - DBA Trinity Moline,General Hospital,"500 John Deere Road, 7th Street Campus",Moline,Rock Island,61265,(309) 779-5000,0005140,11/28/17
Trinity Medical Center (West) - DBA Trinity Rock Island,General Hospital,2701 17th Street,Rock Island,Rock Island,61201,(309) 779-5000,0003244,06/30/17
UHS Hartgrove Hospital,Psychiatric Hospital,5730 West Roosevelt Road,Chicago,Cook,60644,(773) 413-1700,0005454,07/16/17
University of Illinois Hospital at Chicago,General Hospital,1740 West Taylor,Chicago,Cook,60612,(312) 996-3900,0005280,
Valley West Community Hospital,Critical Access Hospital,1302 North Main Street,Sandwich,De Kalb,60548,(815) 786-8484,0004690,09/11/17
Van Matre HealthSouth Rehabilitation Hospital,Rehabilitation Hospital,950 S. Mulford Road,Rockford,Winnebago,61108,(815) 381-8500,0005215,10/26/17
"VHS Acquisition Subsidiary Number 3, Inc. - DBA Louis A. Weiss Memorial Hospital",General Hospital,4646 North Marine  Drive,Chicago,Cook,60640,(773) 878-8700,0005249,05/31/17
VHS of Illinois - DBA MacNeal Hospital,General Hospital,3249 South Oak Park Avenue,Berwyn,Cook,60402,(708) 783-9100,0005082,01/31/18
"VHS West Suburban Medical Center, Inc. - DBA West Suburban Medical Center",General Hospital,3 Erie  Court,Oak Park,Cook,60302,(708) 383-6200,0005694,07/31/17
"VHS Westlake Hospital, Inc. - DBA Westlake Hospital",General Hospital,1225  West Lake Street,Melrose Park,Cook,60160,(708) 681-3000,0005702,07/31/17
"Vibra Hospital of Springfield, LLC",Long Term Acute Care Hospital,701 N. Walnut Street,Springfield,Sangamon,62702,(217) 528-1217,0005900,08/31/17
Wabash General Hospital District,Critical Access Hospital,1418 College Drive,Mt. Carmel,Wabash,62863,(618) 262-8621,0002865,12/31/17
Warner Hospital and Health Services,Critical Access Hospital,422 West White Street,Clinton,De Witt,61727,(217) 935-9571,0001164,06/30/17
Washington County Hospital,Critical Access Hospital,705 South Grand Avenue,Nashville,Washington,62263,(618) 327-8236,0002899,06/30/17
"Waukegan Illinois Hospital Company, LLC - DBA Vista Medical Center East",General Hospital,1324 North Sheridan Road,Waukegan,Lake,60085,(847) 360-4000,0005397,06/30/17
"Waukegan Illinois Hospital Company, LLC - DBA Vista Medical Center West",General Hospital,2615 West Washington Street,Waukegan,Lake,60085,(847) 360-4000,0005405,06/30/17
